predateur,proie,mange,selectivity,nom,origine,stade_pred,stade_proie,titre,num_vol,numero_article,DOI,annee,nom,journal
Abramis brama,Copepoda,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Cladocera,-1,2,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Ostracoda,-1,1,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Daphnia schodleri,beads,-1,-1,,,,,The relationship between body size of filter-feeding cladocera and the maximum size of particle ingested,,,,1968,Limnology and Oceanography,Burns C.
Daphnia galeata mendotae,beads,-1,-1,,,,,The relationship between body size of filter-feeding cladocera and the maximum size of particle ingested,,,,1968,Limnology and Oceanography,Burns C.
Daphnia pulex,beads,-1,-1,,,,,The relationship between body size of filter-feeding cladocera and the maximum size of particle ingested,,,,1968,Limnology and Oceanography,Burns C.
Polyarthra dolichoptera,Klebsiella aerogenes,0,0,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Synchaeta pectinata,Klebsiella aerogenes,0,0,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Asplanchna girodi,Klebsiella aerogenes,0,0,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Polyarthra dolichoptera,Klebsiella aerogenes,0,0,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Polyarthra euryptera,Klebsiella aerogenes,0,0,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Keratella cochlearis,Klebsiella aerogenes,-1,-1,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Keratella cochlearis,Klebsiella aerogenes,-1,-1,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Keratella cochlearis,Klebsiella aerogenes,-1,-1,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Polyarthra dolichoptera,Chlamydomonas reinhardtii,-1,-1,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Conochilus dossuarius,Klebsiella aerogenes,-1,-1,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Kellicottia bostoniensis,Klebsiella aerogenes,-1,-1,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Polyarthra dolichoptera,Rhodotorula glutinis,0,0,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Synchaeta pectinata,Rhodotorula glutinis,-1,-1,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
Asplanchna girodi,Rhodotorula glutinis,0,0,,,,,In situ clearance rates of planktonic rotifers,73,,,1980,Hydrobiologia,Bogdan K.
